"","C001I","C001K","C002I","C002K","C004I","C004K","C005K","C006I","C006K","C007I","C007K","C008I","C008K","C009I","C009K"
"RP_pos_473_32648a7_996",17.3882696003324,16.3142291826137,17.4698723070038,16.0544771354295,19.0195798698825,17.9016034827726,18.0747164020025,20.9658723370922,19.9798912582758,20.4052006848315,19.8806357879085,17.5355639596768,16.2408844783699,17.3929294856465,16.6343289370844
"RP_pos_473_32697a8_451",20.4803366058894,19.7166285841356,20.2912224211132,19.6068497688817,19.7789353614596,18.5355411789026,19.8415305648813,19.9299865084315,19.1077023748408,22.3261444456733,21.8761957906707,20.0077855909412,18.496966873507,19.096969888721,18.2850815722925
"RP_pos_473_36261a9_418",18.0871053967917,16.3709257477984,18.1654468152131,17.2071573467806,15.7244605610955,14.7390421996898,16.1094634057478,16.5916976472098,15.6534888895674,18.320113018163,17.9352916851132,16.2839203258163,15.3900345707461,17.4348073806819,16.7076961457949
"RP_pos_473_36273a9_12",18.4134626548215,16.6226810304748,18.4545563439619,17.5651839120823,19.0129491043731,18.3791202605175,16.0426853722194,15.7084642428165,14.637700350271,17.0657842509612,16.6299257530078,18.1449220729096,16.852931773291,17.9185546474991,17.5003828747003
"RP_pos_473_36295a8_378",16.7051328649231,15.3306368247233,17.1856401000965,16.3056877197069,18.6248240079653,17.3849523424113,15.0832299921281,15.4261664572691,14.5608701619253,15.7736543629619,15.7596541631006,16.7959254991483,14.523684462323,17.4655903177407,17.0578013922029
"RP_pos_473_39899a13_008",20.9253878272549,12.3157156580222,20.6074061746253,12.6967502365222,21.837289145841,13.2928967554092,13.4435911122536,21.5707729436373,12.9939997917925,20.8540739568635,13.8451959934563,21.1469390267883,13.6805792957802,20.3519722792793,13.0510389621174
"RP_pos_473_75934a3_99",9.24792751344359,15.2024682292211,8.33985000288462,16.46192702259,8.34872815423108,15.5092801680879,17.5951481910619,8.94251450533924,16.0661522733417,12.2473341780287,17.6154356669595,9.73978060977326,16.2558584415264,NA,16.2058123365783
"RP_pos_474_35788a9_191",17.6381601215426,16.6109527299383,17.7697151866141,17.1273898482475,17.2442802057428,16.2830702613295,17.9268924381043,16.2495764455871,15.7194155610383,19.3170062332357,18.9898240998028,15.2423926096842,14.1551344548578,16.2731581612799,15.6905982417052
"RP_pos_475_28171a13_17",15.2374340571193,11.6302671250268,17.1302487840507,12.004922678569,11.6917435191713,11.4040771362412,11.9322147519684,15.7197096693902,11.1959872980285,11.595257481449,21.3684068132438,15.530589222951,19.8664050891475,14.4776317974505,19.1041840911377
"RP_pos_475_2821a14_047",17.7409797206718,11.5655781367843,18.2938039046276,11.7919768208987,17.5677704400373,11.567480801143,9.90839262077375,19.2032332803014,12.2983490156582,20.3458589198108,12.53065017975,18.1492062853114,12.0529076283133,17.8393391328454,11.3185428097027
"RP_pos_475_33752a6_088",17.2057264422745,15.5461710022674,16.1480197093774,15.132740694199,15.7638866566946,14.5906455237236,16.1256959759821,15.8017588725644,14.3257973268664,17.2272586847628,16.7302445657718,17.5650648796794,16.3027817012671,16.361515478594,15.4891580508316
"RP_pos_475_33823a5_801",16.4947462284617,14.780847301855,15.397373817319,13.7394641945859,15.0007042690112,13.1655351413779,14.9286109001924,14.3487973001508,13.2916024069828,16.397256816522,15.6856248397264,16.7502882675917,15.4018794790965,15.2998519349527,14.5517683326153
"RP_pos_475_34167a8_128",16.0279707712939,14.2594490462857,15.272155903713,14.6632245202532,17.4240186255191,16.3821511557685,15.8998525281636,17.8833592521736,16.9002182228549,18.36527584682,17.7810458829754,14.6557543101442,13.6626683755175,15.6024958992687,14.8490140736948
"RP_pos_475_34195a8_324",17.1891296004611,15.6342438415775,16.882129551881,16.1147590508206,18.1033800231876,16.9968375591065,16.6932963715174,17.5208718542666,16.3942784605515,18.9984967766885,18.5202887208624,16.3118369909186,15.2605152990245,16.5073455859854,16.1562016101221
"RP_pos_475_34204a8_626",18.0804636376054,16.9220965466048,17.5944193768242,16.8165087112943,17.5482048028571,16.6427709426517,16.8387853694898,17.5932087317321,16.760603009591,19.3321064989079,18.9159085479379,15.8182326450646,15.5897974214483,17.1483176863093,16.585696106815
"RP_pos_475_37543a12_079",18.5949696656227,13.472817742092,19.5170176571061,15.1909820795012,17.1110439498734,13.3548003443506,15.4584066132365,18.5494237084261,14.3913778623151,19.1289030719842,16.4486325677306,19.4777582664439,16.0546043179607,17.3511635495735,13.5572243494544
"RP_pos_476_22818a3_148",13.4794013552834,9.19475685442225,11.7797193551434,10.7047682393626,13.0061507281703,12.2030420555625,11.2859801059282,12.1452953349336,11.3134499409631,12.127671967039,10.5323559252888,11.7988767681333,10.61194694182,13.418379719365,12.3605727814807
"RP_pos_476_30069a7_287",15.8722179544906,14.3824213866363,13.9617209881667,12.8117760553267,13.5442400064417,9.57175264350355,13.4840676224322,12.8255551008708,10.843921051289,15.094819961256,14.9860197730641,16.0816914721019,14.1603441706847,13.8436266737928,13.3427691729184
"RP_pos_476_30695a4_61",18.2966966823504,17.1078198438016,17.5768681168758,16.5413689104435,19.1264070395709,17.9453809640115,17.5930336146186,18.7834778846317,17.6373961133438,17.7685655772898,17.5600267664802,18.3415622563294,17.1538785485885,18.3255777619732,17.6099073483343
"RP_pos_477_22299a4_179",14.240791332162,12.9393955601816,12.4985999287703,10.3772105303886,18.6650513366223,17.4637478613001,14.5455075139328,16.2012050072995,14.972486242531,15.1293232701513,14.5751846746685,14.1728181335743,13.0384046289419,14.0811505212719,12.8581753105755
