"","C001H","C002H","C004H","C005H","C006H","C007H","C008H","C009H"
"HTR1B",1,1,0,0,6,12,9,10
"IMPG1",0,4,0,0,0,5,0,0
"MYO6",2345,2559,2671,2025,894,2450,3347,4256
"SENP6",1052,1268,870,626,944,1084,1599,1399
"FILIP1",68,69,54,130,108,79,30,74
"TMEM30A",4013,4310,3489,3685,4633,4493,5830,8920
"COX7A2",6491,5686,8020,7497,4845,7396,8097,12598
"COL12A1",1995,2741,4199,2574,3317,3247,2426,4418
"CD109",161,269,163,273,210,152,205,317
"LOC106506626",0,9,0,0,20,2,5,0
"SLC17A5",412,217,166,202,267,222,234,390
"EEF1A1",81941,123045,116590,104179,107846,103269,102928,114859
"MTO1",96,106,73,115,81,70,122,208
"MB21D1",190,109,134,67,167,175,67,224
"SETBP1",51,55,59,44,66,58,23,60
"LOC110260756",16,0,9,20,35,4,13,0
"SLC14A2",0,0,9,0,5,1,0,0
"SLC14A1",1197,433,4065,153,3220,3496,1618,6963
"SIGLEC15",69,43,67,0,118,127,82,241
"EPG5",252,254,150,181,219,192,289,399
"PSTPIP2",87,18,0,92,29,51,51,128
"ATP5A1",11656,10147,7671,9791,6580,10037,9276,20744
"HAUS1",209,173,263,261,192,230,286,422
"C1H18orf25",264,215,198,143,245,331,433,407
"RNF165",15,20,48,75,46,14,8,0
"LOXHD1",0,20,0,0,0,0,0,7
"ST8SIA5",0,0,0,16,11,0,2,0
"PIAS2",277,263,158,147,188,215,276,339
"KATNAL2",0,12,0,0,0,4,0,0
"HDHD2",178,161,115,208,142,213,168,258
"IER3IP1",2982,3626,2866,2724,3210,3104,2830,5251
"SMAD2",508,527,516,399,348,558,774,879
"ZBTB7C",118,139,224,244,100,199,103,175
"CTIF",141,56,32,40,42,91,98,249
"SMAD7",369,570,639,350,383,617,926,1216
